title,author,year,text_sample,text_filename
Culture as Behavior: Structure and Emergence,Conrad M. Arensberg,1972,"The annual review of the fluid and protean science of anthropology which is to occupy this book reveals a discipline with visible progress in many empirical discoveries. Its continued devotion to fact-gathering and its careful observation of the human realities of cultural variation attest to its enduring tradition. Anthropology is still the proper heir of natural science and natural history. Its data are those that come, in one way or another, from recording past and current events in human and hominid lives, whether in the testimony of fossil and artifact or in the protocols of the fieldworker's notes and tapes. Its coverage is still immense, indeed encyclopedic. It ranges from the diaries of the ethologist animal watchers to computer-sorting of world- wide processes of evolutionary advance, from word uses and color categories of tribesmen to the emergence of empires or the current fading away in the world of the rural-urban distinction. It remains the one science bridging the gap between the ""hard"" and the ""soft"" sciences, uniting the Two Cultures of Sir Charles Snow. Yet the progress of anthropology displays a proliferation and sprawl that threatens its advance. There are, of course, master concepts which offer some unity. But often these are merely imported from outside, like evolution and ecology. Some parts, chapters here, show order in classification and clarity in identifying tested processes. There are established mutual dependencies among data already firm. Archaeological sequences and language families can be cited. In other parts, particularly in cultural and social anthropology, unity seems much less. The replication and the cumulation that in science depends upon agreed definitions and shared paradigms of method and infer- ence is too little. itself perhaps less to summation, a task already in the hands of the capable chapter writers, than to uncertainties. Obviously it is culture which provides the theme which unifies, if tenuously, the great sprawl of the science. Culture, as man's special behavior, remains the theme still implicit in the background of all the subdisciplines. Perhaps it would be most useful to treat the nature, emergence, variability, and relationships of culture.

An introductory essay on the progress here recorded, then, should devote",vol1.1
Conceptual Progress in Physical Anthropology: Fossil Man,Bernard G. Campbell,1972,"The aim of science is to seek the simplest explanation of complex facts. We are apt to fall into the error of thinking that the facts are simple be- cause simplicity is the goal of our quest. The guiding motto in the life of every natural philosopher should be, seek simplicity and distrust it. The strictures which encompass and define scientific method are high Alfred North Whitehead (127, p. 163) lighted in an observational science such as paleontology, which permits prac- tically no experimentation. Progress in the study of human evolution based on the fossil record has been beset by nearly as many problems as it has solved. While today we know far more of the fossil evidence than those who wrote early in this century, we have also come to realize more clearly the theoretical difficulties which stand in our way. We know that we can never do more than present hypotheses on the basis of presently available evidence. As time-bound creatures, no ultimate truth about the origin and evolution of mankind can ever be known to us. The recent discovery of so many fossil hominids has, as we shall see, opened up a wider range of hypothetical possibilities than have been appro- priate in the past. Those fossils known earlier in this century, and indeed as late as 1955, could be fitted into a relatively simple and not very controver- sial phylogenetic lineage. The numerous fossils now known offer alternative interpretations (Figure 1). Since the number of possible hypotheses are both theoretically and practically unlimited, it is essential in our assessment of the present position to evoke the principle of William of Ockham that plurality should not be posited without need (essentia non sunt multiplicanda prater necessitatem), but as Whitehead has pointed out, this does not mean that the truth itself is necessarily simple (127). In this review we shall discuss first some of the most important fossil dis- coveries since 1955,1 and then consider their conceptual significance. ' Archaeological sites lacking fossil hominid remains are obviously relevant to an understanding of human evolution. In the present state of our understanding of cultural variation and the taxonomy of tool assemblages, however, it is most unwise to equate a particular culture with a particular hominid taxon. Because of limited",vol1.2
Studies of Modern Man,D. F. Roberts and J. C. Bear,1972,"This review of studies in the physical anthropology of modern man concerns papers that have appeared in the period from mid-1969 to mid-1971. Though far from comprehensive it aims to show how much activity there is in each major topic of investigation in the biological study of populations of man that exist today, and to pick out any trends in investigation that may be detectable. Several topics have been intentionally excluded, e.g. behavior studies, psychometric investigations, descriptive osteometry, and epidemiological works relating to particular disease states.",vol1.3
Dating Methods,Joseph W. Michels,1972,"Archaeological dating has undergone rapid development as part of a more general trend towards increasingly sophisticated scientific methodology, a trend that is being felt throughout the discipline of archaeology. We have not only seen refinement of traditional dating procedures but also the intro- duction of new techniques that considerably expand our ability to date past events. As in the case of other rapidly developing areas of archaeology, a substantial literature has accumulated that poses a challenge to archaeologists who merely want to keep up to date. I was asked to write this review when the editors learned I had just completed a book on dating methods (3). One observation that I can make as a result of my experience is that many of the important developments in archaeological dating represent contributions by the biological, physical, chemical, and mathematical sciences. A good portion of the relevant literature is written by specialists outside archaeology who often presume backgrounds in their respective fields that archaeologists sel- dom possess. As a result, the literature is not readily assimilated by the gen- eral archaeological profession. This problem has prompted recent efforts at syntheses that are intended for archaeological consumption such as the col- lection of essays edited by Michael & Ralph (29), those edited by Brothwell & Higgs (5) and the above-mentioned text (31). In this paper I will try to highlight some of the developments which are discussed in detail in these general works and attempt to show the magnitude of progress that has been made in the area of archaeological dating. The fact that recent technological breakthroughs are leading to a routini- zation of chronological analysis has considerable significance for the develop- ment of a more rigorous anthropological orientation in archaeology. Taking one example, we might note that there is growing momentum towards the application of general systems theory to archaeological analysis. One of the highlights of a systems approach is that it facilitates a dynamic analysis of cultural process (8). In such a framework the reconstruction of an archaeo- logical ""phase"" is viewed as the characterization of a complex cultural system at a given state along a multistate trajectory (4). The study of multiple phases is intended to document changes through time in the various compo-",vol1.4
Archaeological Settlement Patterns,Jeffrey R. Parsons,1972,"This paper reviews published material concerned with the analysis of pat- tern in the physical remains of human settlement. Although my major con- cern is with prehistoric settlement, I have also tried to deal with studies which focus on physical traces of occupation, whatever their status with respect to historical documentation. I have made no attempt to discuss the literature on settlement of industrialized societies at the nation-state level, nor have I tried to incorporate the abundant literature from locational geography, plant ecol- ogy, or animal ecology where techniques and methods have been developed which have a definite, although largely untapped, potential for new analytical approaches to archaeological settlement. Because I have focused on studies whose explicit purpose has been the description and analysis of settlement patterns, I have made no effort to discuss the vast literature ethnographical, archaeological, and historical which contains data of potential utility to set- tiement pattern studies. In this review I trace the historical development of the settlement pattern concept in archaeology; define the principal concerns and issues which inves- tigators have considered to be important; discuss something of the substantive results of settlement pattern study through a sampling of representative pub- lished materials; and provide an assessment of the major accomplishments and future needs of settlement pattern analysis in archaeology. DEVELOPMENT OF CONCEPT AND METHODOLOGY From the English-language literature it is apparent that the study of an- cient settlement has developed through two largely independent traditions: one in America and the other in England. The American tradition finds its most immediate roots in Morgan's last published work (67), which originally appeared in 1881. Here Morgan posed the critical question of how the re- mains of aboriginal residential architecture in North America reflected the social organization of the prehistoric peoples who occupied them. ",vol1.5
Demographic Studies in Anthropology,Paul T. Baker and William T. Sanders,1972,"A common definition of the field of biological anthropology is that it con- cerns the description, causes, and consequencs of variability in human bio- logical characteristics. As such it is somewhat surprising that so little atten- tion has been devoted to such an important biological parameter as human demography. In the early development of anthropology there was a brief interest in demo graphy as attempts were made to discover whether some men had found a way to increase longevity. These myths persist with reports of great age in the USSR and the South American Andean region. Anthropologists were also curious about the longevity of our ancestors so that both historical and skele- tal studies of mortality were in vogue. At the opposite end of the life cycle considerable effort was expended on the study of sex ratios at birth and the nature of seasonality in birth. Despite these early interests the fie Id of demo g- raphy was not pursued with any depth until recently. At the moment interest in demographic data is very much on the rise and shows no sign of being near its peak. The reasons for the increased inter- est can be catalogued into three discrete developments of the 1960s. First, the development of extensive research programs on the nonhuman primate in his natural environment has produced a new body of descriptive data. Second, the development of human population genetics from the general synthetic theory of evolution has indicated the need for new types of demo graphic data on nonwestern populations. Finally, the strong interest in a subject area best called human ecology has suggested new ways in which we can understand the immediate causes and effects of population differences in demographic characteristics. In this paper we will attempt to highlight the current status of research in these topics even though much of the subject matter has been",vol1.6
"Environment, Subsistence, and Society: The Changing Archaeological Perspective",Ezra B. W. Zubrow,1972,"It is a cliche to begin a review article by acknowledging that the subject is too large to be examined in any comprehensive manner. Environment, subsis- tence, and society are each the domain of at least one discipline. Environ- ment is considered to be the proper subject for ecologists, biologists, geolo- gists, and geographers; subsistence is the domain of economists, nutritionists, and various agricultural specialists; society is studied by anthropologists, soci- ologists, and psychologists, to name only a few. Yet some men have at- tempted to relate the three subjects into an analytical framework. Few men have been as concise and yet been able to maintain as consistent a world view on this subject as John Aubrey (1626-97), the first person to consider Stone- henge and Avebury in archaeological perspective. He stated: Let us imagine then what kind of countrie this was in the time of the Ancient Britons. By the nature of the soil, which is a sour woodsere land, very natural for the production of oakes especially, one may conclude that this North Division was a shady dismal wood; and the inhabitants almost as savage as the Beasts whose skins were their only rayment (Daniel9 ). One of the few advantages of trying to research the current status of such a broad subject is that one often gets an impression of the directions in which the scientific domain is headed. Thomas Kuhn (21) has suggested that there is an evolutionary progression in the development of sciences. Essentially he suggests that a developing science passes through the following stages: 1. First, there is a pre-paradigm stage in which there are many subjects and schools of thought competing for prominence. Since there is no com- mon body of belief, each researcher is forced to build his field from its foundations. 2. Second, out of this disparate body of contention, there emerges either a single theory or a set of new theories which not only reorganizes the ",vol1.7
"Environment, Subsistence, and Society",Karl G. Heider,1972,"The relationship between environment, subsistence, and society has been one of the constant and chief concerns of anthropology. Here we shall exam ine recent developments which relate to this area. An annual review might be expected to cover only books and articles with a publication date of the pre- vious year. But since this is the first annual review, I am arbitrarily widening the scope of this survey to include the last few years, roughly, the 1968-1971 period. This dateline artificially excludes the major influential works of such anthropologists as Julian Steward, Harold Conklin, Charles Frake, and Clif- ford Geertz. However, there are so many excellent recent summaries of the development of this field that there is no point in adding another. The inter- ested reader can turn to Vada & Rappaport (56), Netting (41), Damas (11), Anderson (1), and Harris (26). Here we shall try to focus on the cutting edge of the field. What is the state of the theory? What new methods and techniques are emerging? And what recent substantive knowledge has been brought forth? To anticipate the conclusions, we will find that the theory has been ham- pered by a simplistic polemic; that important refinements in methodology are now emerging, perhaps more from cultural geography than from anthropol- ogy; and that the actual substantive results, both in terms of satisfactory de- scriptions of individual societies and of determination of regular principles of relationships, are still too often trivial or overgeneralized. The subject can be phrased as the interrelationship of environment, sub- sistence, and society, or it may be more succinctly coded as ecology or cul- tural ecology. This can be misleading, for ""ecology"" now means so many things to so many scientists, parascientists, and antiscientists that any use of it will be challenged. I think that it is enough to say here that most anthropolo- gists and geographers who use the term ""cultural ecology"" are concerned with the interrelationships of environment, subsistence, and society. It is also well to note here that although we are most interested in studies which emphasize the relationships between environment, subsistence, and so- ciety, we must pay close attention to some studies which although they focus primarily on subsistence activities, utilize methodological innovations which promise to aid the more integrated studies.",vol1.8
"Ethnohistory: A Review of its Development, Definitions, Methods, and Aims",Robert M. Carmack,1972,"The relationship between history and anthropology has too often been viewed in terms of the misleading dichotomy between the ideographic, the specific and unique, and the nomothetic, the abstract, and general (see, for example, Boas 13; Harris 40; Kroeber 46; White 102). Nagel (67), who traces the dichotomy back to Aristotle, has convincingly demonstrated the use of generalizations and specific cases in both history and science, and Sah- lins and Service have done a similar thing through their analysis of specific and general evolution (75). they were in the diachronic and documentarian senses. The founding fathers of anthropology Morgan, Tylor, Maine, Marx, and others--sought to find the origins and antecedents of sociocultural systems and to trace their evolu- tion through time. They based their studies on documentary accounts about native cultures written by travelers, missionaries, etc. As Kroeber repeatedly claimed, the historical approach was precociously applied in the social sci- ences, compared to the biological and physical sciences (47). The delayed development of a historical approach in the other sciences, Kroeber argued (48), was the requirement of a prior development of systematic, synchronic generalizations. followed the evolutionary beginnings of anthropology -viz. the need for de- tailed, synchronic studies. The aversion of Radcliffe- Brown and Malinowski to historical studies is well known. The structure-functionalism of British so- cial anthropology was ahistorical on all counts. In the study of the struc- tures of whole societies it was nomothetic, in the almost total reliance on ethnographic observations it was antidocumentarian, and in failing to study social change it was synchronic. In spite of Harris' recent attempt to portray the American culture histori- ans' work as exclusively ideographic (41), there is good reason to view it as ahistorical in certain fundamental ways. Certainly the culture historians can- not be accused of failing to make diachronic studies, as under Boas' guidance The early evolutionists were not historical in the ideographic sense but This suggests one explanation for the patently ahistorical phase which",vol1.9
Social Strategies and Social Relationships,"Norman E. Whitten, Jr. and Dorothea S. Whitten",1972,"A shifting emphasis from concern with social or cultural rules to an interest in adaptive strategies of human aggregates has become increasingly evi- dent in anthropology during the past 20 years. The general theoretical basis for such work seems to lie in multilinear evolutionary theory, especially as set forth by Steward (135, 136), and discussed as ""specific evolution"" by Sahlins & Service (123). The fundamental problem to which such theory pertains is simply how to conceive of continuity and change within a unified frame of reference. In social anthropology there are several milestones, such as the conceptual frameworks of Firth (47) and Lévi-Strauss (92) and the ethnog- raphies of Leach (86) and Barth (11). Alland (2) has made a major effort to consider evolutionary processes and ongoing adaptation of human aggre- gates within a unified scheme, which unfortunately omits most of the produc- tive social anthropological studies. Among other things, this review seeks to redress such omission. The analysis of social strategies is emerging as the core of adaptational ' The actual review was undertaken under the auspices of National Science Foundation Grant No. GS-2999 as part of the conceptual refinement necessary to understand differential ethnicity as adaptive strategies in the face of national develop- ment policies in ""third world"" nations. The authors are convinced that a compre- hensive review of this subject could encompass virtually all of the social and be- havioral sciences. Where possible we have referred the reader to existing reviews of relevant literature of many crucial approaches touched on here, such as ""adapta- tional theory,"" ""game theory,"" ""conflict theory,"" ""exchange theory,"" ""social change."" We wish to thank Paul Ballanoff for his aid in framing the review and for contributing a number of productive ideas. All faults in commission, omission, and judgment are, of course, our own.",vol1.10
